NON $ % + - . 0 1
#NON	a	b	f	d	g	e	c
41.41414141414142	0.044826958252007665	0.15421048601394247	0.0280021915959979	0.02314481183649108	0.19427271243846717	0.2148098795256019	0.11337328378297862
41.919191919191924	0.044826958252007325	0.15421048601394152	0.02800219159634179	0.02314481183702069	0.1942727124384656	0.2148098795256036	0.11337328378363291
42.42424242424243	0.04482695825200698	0.15421048601394055	0.028002191596685686	0.023144811837550298	0.19427271243846406	0.21480987952560526	0.1133732837842872
42.929292929292934	0.04482695825200664	0.15421048601393958	0.02800219159702958	0.02314481183807991	0.1942727124384625	0.21480987952560693	0.11337328378494148
43.43434343434344	0.04482695825200629	0.15421048601393864	0.028002191597373476	0.023144811838609516	0.19427271243846095	0.2148098795256086	0.11337328378559576
43.939393939393945	0.04482695825200595	0.15421048601393766	0.028002191597717368	0.023144811839139124	0.1942727124384594	0.21480987952561026	0.11337328378625004
44.44444444444445	0.04482695825200561	0.1542104860139367	0.028002191598061263	0.023144811839668735	0.19427271243845784	0.21480987952561195	0.11337328378690434
44.949494949494955	0.044826958252005264	0.15421048601393575	0.028002191598405158	0.023144811840198343	0.19427271243845626	0.21480987952561362	0.11337328378755862
45.45454545454546	0.044826958252004924	0.15421048601393478	0.028002191598749053	0.023144811840727954	0.1942727124384547	0.21480987952561528	0.1133732837882129
45.959595959595966	0.04482695825200458	0.15421048601393383	0.028002191599092945	0.02314481184125756	0.19427271243845315	0.21480987952561695	0.11337328378886719
46.46464646464647	0.04482695825200424	0.15421048601393286	0.02800219159943684	0.02314481184178717	0.1942727124384516	0.2148098795256186	0.11337328378952148
46.969696969696976	0.0448269582520039	0.1542104860139319	0.028002191599780735	0.02314481184231678	0.19427271243845004	0.21480987952562028	0.11337328379017576
47.47474747474748	0.04482695825200355	0.15421048601393095	0.02800219160012463	0.023144811842846388	0.19427271243844849	0.21480987952562197	0.11337328379083005
47.979797979797986	0.04482695825200321	0.15421048601392998	0.02800219160046852	0.023144811843375995	0.19427271243844693	0.21480987952562364	0.11337328379148433
48.484848484848484	0.04482695825200286	0.15421048601392903	0.028002191600812416	0.023144811843905606	0.19427271243844538	0.2148098795256253	0.11337328379213861
48.98989898989899	0.04482695825200252	0.15421048601392806	0.02800219160115631	0.023144811844435214	0.19427271243844382	0.21480987952562697	0.1133732837927929
49.494949494949495	0.04482695825200218	0.1542104860139271	0.028002191601500206	0.023144811844964825	0.19427271243844227	0.21480987952562863	0.11337328379344719
50.0	0.044826958252001836	0.15421048601392615	0.028002191601844098	0.023144811845494433	0.19427271243844071	0.21480987952563033	0.11337328379410147
