,,,Slide ID,c,b,d,f,a,e
,,,Antibody Name,c,b,d,f,a,e
,,,HUGO ID,c,b,d,f,a,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,37.24832214765101,0.22398979686170592,0.171564611642184,0.14505794220193624,0.24368938304967752,0.016955939713646496,0.14978042128130142
C1,no,Insulin,37.58389261744966,0.22398979686198614,0.1715646116422939,0.14505794220211837,0.2436893830500241,0.016955939714250013,0.14978042128155847
C1,no,Insulin,37.919463087248324,0.22398979686226633,0.17156461164240377,0.14505794220230048,0.2436893830503707,0.016955939714853527,0.1497804212818155
C1,no,Insulin,38.25503355704698,0.22398979686254653,0.17156461164251366,0.1450579422024826,0.2436893830507173,0.016955939715457044,0.14978042128207256
C1,no,Insulin,38.59060402684564,0.22398979686282672,0.17156461164262354,0.14505794220266474,0.24368938305106388,0.01695593971606056,0.14978042128232957
C1,no,Insulin,38.9261744966443,0.2239897968631069,0.17156461164273343,0.14505794220284685,0.24368938305141047,0.01695593971666408,0.14978042128258662
C1,no,Insulin,39.261744966442954,0.22398979686338713,0.17156461164284328,0.14505794220302898,0.24368938305175705,0.016955939717267592,0.14978042128284366
C1,no,Insulin,39.597315436241615,0.22398979686366732,0.17156461164295317,0.1450579422032111,0.24368938305210366,0.01695593971787111,0.1497804212831007
C1,no,Insulin,39.93288590604027,0.22398979686394752,0.17156461164306305,0.14505794220339324,0.24368938305245025,0.016955939718474627,0.14978042128335775
C1,no,Insulin,40.26845637583893,0.2239897968642277,0.17156461164317294,0.14505794220357535,0.24368938305279683,0.01695593971907814,0.14978042128361477
C1,no,Insulin,40.604026845637584,0.2239897968645079,0.17156461164328282,0.14505794220375748,0.24368938305314342,0.016955939719681658,0.1497804212838718
C1,no,Insulin,40.939597315436245,0.2239897968647881,0.1715646116433927,0.1450579422039396,0.24368938305349,0.016955939720285175,0.14978042128412886
C1,no,Insulin,41.2751677852349,0.2239897968650683,0.1715646116435026,0.14505794220412174,0.2436893830538366,0.016955939720888692,0.1497804212843859
C1,no,Insulin,41.61073825503356,0.2239897968653485,0.17156461164361247,0.14505794220430385,0.2436893830541832,0.016955939721492206,0.14978042128464292
C1,no,Insulin,41.946308724832214,0.2239897968656287,0.17156461164372236,0.14505794220448598,0.24368938305452978,0.016955939722095723,0.14978042128489996
C1,no,Insulin,42.281879194630875,0.2239897968659089,0.17156461164383224,0.1450579422046681,0.24368938305487636,0.01695593972269924,0.149780421285157
C1,no,Insulin,42.61744966442953,0.22398979686618908,0.17156461164394213,0.14505794220485024,0.24368938305522297,0.016955939723302754,0.14978042128541405
C1,no,Insulin,42.95302013422819,0.22398979686646928,0.171564611644052,0.14505794220503235,0.24368938305556956,0.01695593972390627,0.14978042128567107
C1,no,Insulin,43.28859060402685,0.2239897968667495,0.1715646116441619,0.14505794220521448,0.24368938305591614,0.01695593972450979,0.1497804212859281
