,,,Slide ID,c,d,b,a,e,f
,,,Antibody Name,c,d,b,a,e,f
,,,HUGO ID,c,d,b,a,e,f
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,42.85714285714286,0.07390068605764853,0.11355496499159395,0.01653749294513332,0.015707991415392097,0.0744010668868324,0.03939313543100249
C1,no,Insulin,43.27731092436975,0.07390068605562698,0.11355496498795653,0.016537492944308754,0.015707991414646072,0.07440106688494419,0.039393135429668165
C1,no,Insulin,43.69747899159664,0.07390068605091253,0.1135549649795004,0.016537492942396443,0.0157079914129091,0.07440106688049068,0.039393135426542464
C1,no,Insulin,44.11764705882353,0.07390068604350516,0.11355496496622558,0.016537492939396388,0.01570799141018118,0.07440106687347187,0.03939313542162539
C1,no,Insulin,44.53781512605042,0.07390068603340487,0.11355496494813207,0.016537492935308592,0.01570799140646232,0.07440106686388774,0.03939313541491694
C1,no,Insulin,44.957983193277315,0.07390068602061169,0.11355496492521985,0.016537492930133048,0.01570799140175251,0.07440106685173832,0.039393135406417104
C1,no,Insulin,45.378151260504204,0.07390068600512557,0.11355496489748892,0.016537492923869763,0.01570799139605176,0.07440106683702359,0.0393931353961259
C1,no,Insulin,45.79831932773109,0.07390068598694655,0.11355496486493931,0.01653749291651873,0.01570799138936006,0.07440106681974355,0.039393135384043314
C1,no,Insulin,46.21848739495798,0.07390068596607462,0.113554964827571,0.016537492908079956,0.015707991381677413,0.07440106679989822,0.039393135370169356
C1,no,Insulin,46.63865546218487,0.07390068594250977,0.11355496478538399,0.01653749289855344,0.015707991373003823,0.07440106677748758,0.03939313535450402
C1,no,Insulin,47.05882352941177,0.07390068591681995,0.1135549647393944,0.01653749288816835,0.015707991363548102,0.07440106675305354,0.039393135337425396
C1,no,Insulin,47.47899159663866,0.07390068591445564,0.11355496473513689,0.01653749288719443,0.015707991362667824,0.07440106675088011,0.03939313533587645
C1,no,Insulin,47.89915966386555,0.07390068591190799,0.11355496473055064,0.016537492886145422,0.01570799136171931,0.07440106674853592,0.0393931353342068
C1,no,Insulin,48.319327731092436,0.07390068590917698,0.11355496472563567,0.01653749288502132,0.015707991360702552,0.07440106674602096,0.03939313533241643
C1,no,Insulin,48.739495798319325,0.0739006859062626,0.11355496472039195,0.01653749288382213,0.01570799135961756,0.07440106674333523,0.03939313533050536
C1,no,Insulin,49.15966386554622,0.07390068590316487,0.1135549647148195,0.016537492882547848,0.01570799135846433,0.07440106674047872,0.039393135328473584
C1,no,Insulin,49.57983193277311,0.0739006858998838,0.11355496470891834,0.016537492881198473,0.015707991357242858,0.07440106673745145,0.0393931353263211
C1,no,Insulin,50.0,0.07390068589641936,0.11355496470268842,0.016537492879774008,0.01570799135595315,0.07440106673425342,0.03939313532404791
