,,,Slide ID,c,e,f,g,d,a,b
,,,Antibody Name,c,e,f,g,d,a,b
,,,HUGO ID,c,e,f,g,d,a,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,31.313131313131315,0.21020052213309795,0.2503852513090941,0.4209539185580469,0.3355608919476896,0.19489653880026755,0.7280807741935363,0.2170135733827729
C1,no,Insulin,31.81818181818182,0.2102005221314083,0.25038525130955874,0.4209539185580529,0.33556089194729233,0.19489653879997074,0.728080774193542,0.21701357338277566
C1,no,Insulin,32.323232323232325,0.21020052212971863,0.2503852513100234,0.4209539185580589,0.3355608919468951,0.1948965387996739,0.7280807741935478,0.21701357338277838
C1,no,Insulin,32.82828282828283,0.21020052212802895,0.25038525131048806,0.42095391855806485,0.3355608919464978,0.19489653879937704,0.7280807741935534,0.2170135733827811
C1,no,Insulin,33.333333333333336,0.2102005221263393,0.25038525131095274,0.42095391855807085,0.33556089194610056,0.1948965387990802,0.7280807741935592,0.21701357338278382
C1,no,Insulin,33.83838383838384,0.21020052212464962,0.25038525131141737,0.42095391855807685,0.3355608919457033,0.19489653879878335,0.7280807741935649,0.21701357338278654
C1,no,Insulin,34.343434343434346,0.21020052212295998,0.250385251311882,0.4209539185580828,0.33556089194530603,0.19489653879848653,0.7280807741935706,0.2170135733827893
C1,no,Insulin,34.84848484848485,0.2102005221212703,0.2503852513123467,0.4209539185580888,0.3355608919449088,0.1948965387981897,0.7280807741935764,0.217013573382792
C1,no,Insulin,35.35353535353536,0.21020052211958062,0.2503852513128113,0.4209539185580948,0.3355608919445115,0.19489653879789284,0.7280807741935821,0.21701357338279473
C1,no,Insulin,35.85858585858586,0.21020052211789098,0.25038525131327594,0.4209539185581007,0.33556089194411426,0.194896538797596,0.7280807741935879,0.21701357338279745
C1,no,Insulin,36.36363636363637,0.2102005221162013,0.2503852513137406,0.4209539185581067,0.33556089194371697,0.19489653879729915,0.7280807741935935,0.2170135733828002
